title,company,location,description,category,created,salary_min,salary_max
Data Analyst,University of Houston,"New York City, New York","The University of Houston is seeking a dynamic and detail-oriented Data Analyst to join our innovative team. In this role, you will be responsible for taking data from multiple sources and transforming it into actionable insights that drive decision-making across our institution. You will work closely with various departments to identify their data needs, analyze trends, and present your findings in an accessible manner. This position calls for a highly analytical mind with a strong aptitude fo…",IT Jobs,2025-03-15T18:37:53Z,77573.32,77573.32
Data Analyst,ManpowerGroup,"Hoboken, Hudson County","Our client, a leader in the Health and Beauty industry, is seeking a Data Analyst to join their team. As a Data Analyst, you will be part of the Portfolio Operations team supporting various internal initiatives. The ideal candidate will have strong analytical skills, attention to detail, and the ability to communicate insights effectively, which will align successfully in the organization. Job Title: Data Analyst Location: Hoboken, NJ (100% onsite) Pay Range: $25 to $32 per hour W-2 What's the …",IT Jobs,2025-04-10T12:23:19Z,90466.08,90466.08
Data Analyst,Wind Turbine And Energy Cables,"Hasbrouck Heights, Bergen County","COMPANY PROFILE: At WTEC Energy, we help bring power to millions of people and businesses across the United States. Headquartered in Hasbrouck Heights, NJ, we are a leading manufacturer servicing the energy market with locations in 4 states. WTEC Energy is a privately held company committed to providing innovative, sustainable energy products and solutions for today and tomorrow. We service and support diverse markets including: Renewables (Solar and Wind), Electric Utility (Transmission, Subst…","Energy, Oil & Gas Jobs",2024-08-07T08:34:52Z,104004.44,104004.44
Data Analyst,Project Hospitality,"Stapleton and St. George, Staten Island","Job Details 211 Canal Street - Staten Island, NY Part Time High School/GED $34,000.00 - $36,000.00 Salary Day Description The Data Entry Analyst will be responsible for the entry of all deliverables into the system as well as conducting quality assurance on client-level data elements. This position will enter payments into HIMM and update assignments as advised by the Program Director. They will also assist the Program Director with the accuracy of Rent Worksheets and ensure that all encounters…",Admin Jobs,2025-02-27T20:40:24Z,34000.0,36000.0
Data Analyst,BGB Group,"New York City, New York","BGB Group Data Analyst Our Agency BGB Group is a healthcare communications agency that offers a wide range of services, including traditional pharmaceutical advertising, promotional medical education, payer marketing, and consulting services. Known for excellence and professionalism, we’re hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth. Data Analyst Job Overview The Data Analyst will play a critical role in uncovering actio…",Scientific & QA Jobs,2025-02-05T13:48:36Z,70000.0,90000.0
Data Analyst,BGB Group,"New York City, New York","Job Description Job Description BGB Group Data Analyst Our Agency BGB Group is a healthcare communications agency that offers a wide range of services, including traditional pharmaceutical advertising, promotional medical education, payer marketing, and consulting services. Known for excellence and professionalism, we're hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth. Data Analyst Job Overview The Data Analyst will play a c…",Scientific & QA Jobs,2025-04-03T01:37:09Z,101399.46,101399.46
Data Analyst,Fund For Public Health,"Astoria, Queens","The Fund for Public Health in New York City (FPHNYC) is a 501(c)3 non-profit organization that is dedicated to the advancement of the health and well-being of all New Yorkers. To this end, in partnership with the New York City Department of Health and Mental Hygiene (DOHMH), FPHNYC incubates innovative public health initiatives implemented by DOHMH to advance community health throughout the city. It facilitates partnerships, often new and unconventional, between government and the private secto…",Admin Jobs,2024-09-20T06:16:45Z,78272.53,78272.53
Data Analyst,netx,"New York City, New York","Data Analyst – part time Netx is a great place to work – we think you’re going to love it here. We pride ourselves on having a great team and fun work environment while doing great work for our industry leading clients like Dick’s Sporting Goods, Conde Nast, Audible.com and others. We’ve been doing this for more than 10 years and we plan to be around for a long time. If you visit our site you’ll see we’re “Results Obsessed”. Clients hire us because we get them quality customers through the inte…","PR, Advertising & Marketing Jobs",2024-08-07T08:42:40Z,73059.6,73059.6
Data Analyst,Stratford Solutions Inc.,"Jersey City, Hudson County","Job Description Job Description Job Title: Data Analyst (On-Site – Jersey City, NJ) Location: Jersey City, NJ Type: Full-time, On-site Schedule: Monday – Friday, 40 hrs/week Duration: 3-Year Contract Pay Rate: $35/hour Position Overview: The Port Authority of New York and New Jersey (PANYNJ) is seeking a detail-oriented and analytical Data Analyst to support operational, financial, and law enforcement reporting functions. This role is based on-site in Jersey City and involves close collaboratio…",IT Jobs,2025-04-14T14:43:43Z,74423.95,74423.95
Data Analyst,Ferry Machine Corporation,"Little Ferry, Bergen County","Job purpose We are currently seeking a Data Analytics & Resource Planning Specialist to support the People & Culture Department in making data-driven decisions. . Duties and responsibilities The Data Analyst will maintain data storage; assess database design; and gather, organize, and interpret statistical information based on the data in the database. Perform industry research using publically available data sources Requisition and purchase private data sources to provide research and analysis…",IT Jobs,2024-08-07T08:32:42Z,66133.84,66133.84
