title,company,location,description,category,created,salary_min,salary_max,clean_description,nlp_features,text_for_tfidf
Data Analyst,University of Houston,"New York City, New York","The University of Houston is seeking a dynamic and detail-oriented Data Analyst to join our innovative team. In this role, you will be responsible for taking data from multiple sources and transforming it into actionable insights that drive decision-making across our institution. You will work closely with various departments to identify their data needs, analyze trends, and present your findings in an accessible manner. This position calls for a highly analytical mind with a strong aptitude fo…",IT Jobs,2025-03-15T18:37:53Z,77573.32,77573.32,the university of houston is seeking a dynamic and detail-oriented data analyst to join our innovative team in this role you will be responsible for taking data from multiple sources and transforming it into actionable insights that drive decision-making across our institution you will work closely with various departments to identify their data needs analyze trends and present your findings in an accessible manner this position calls for a highly analytical mind with a strong aptitude fo…,"{'lemmas': ['university', 'houston', 'seek', 'dynamic', 'detail-oriented', 'datum', 'analyst', 'join', 'innovative', 'team', 'role', 'responsible', 'take', 'datum', 'multiple', 'source', 'transform', 'actionable', 'insight', 'drive', 'decision-make', 'institution', 'work', 'closely', 'department', 'identify', 'data', 'need', 'analyze', 'trend', 'present', 'finding', 'accessible', 'manner', 'position', 'call', 'highly', 'analytical', 'mind', 'strong', 'aptitude', 'fo'], 'adjs_verbs': ['seek', 'dynamic', 'detail-oriented', 'join', 'innovative', 'responsible', 'take', 'multiple', 'transform', 'actionable', 'drive', 'decision-make', 'work', 'identify', 'analyze', 'present', 'accessible', 'call', 'analytical', 'strong'], 'nouns': ['university', 'houston', 'datum', 'analyst', 'team', 'role', 'datum', 'source', 'insight', 'institution', 'department', 'data', 'need', 'trend', 'finding', 'manner', 'position', 'mind', 'aptitude'], 'noun_phrases': ['detail-oriented data', 'detail-oriented data analyst', 'data analyst', 'innovative team', 'multiple sources', 'actionable insights', 'various departments', 'data needs', 'accessible manner', 'analytical mind', 'strong aptitude'], 'entities': [('university of houston', 'ORG')]}",university houston seek dynamic detail-oriented datum analyst join innovative team role responsible take datum multiple source transform actionable insight drive decision-make institution work closely department identify data need analyze trend present finding accessible manner position call highly analytical mind strong aptitude fo detail-oriented data detail-oriented data analyst data analyst innovative team multiple sources actionable insights various departments data needs accessible manner analytical mind strong aptitude
Data Analyst,ManpowerGroup,"Hoboken, Hudson County","Our client, a leader in the Health and Beauty industry, is seeking a Data Analyst to join their team. As a Data Analyst, you will be part of the Portfolio Operations team supporting various internal initiatives. The ideal candidate will have strong analytical skills, attention to detail, and the ability to communicate insights effectively, which will align successfully in the organization. Job Title: Data Analyst Location: Hoboken, NJ (100% onsite) Pay Range: $25 to $32 per hour W-2 What's the …",IT Jobs,2025-04-10T12:23:19Z,90466.08,90466.08,our client a leader in the health and beauty industry is seeking a data analyst to join their team as a data analyst you will be part of the portfolio operations team supporting various internal initiatives the ideal candidate will have strong analytical skills attention to detail and the ability to communicate insights effectively which will align successfully in the organization job title data analyst location hoboken nj % onsite pay range $ to $ per hour w- what s the …,"{'lemmas': ['client', 'leader', 'health', 'beauty', 'industry', 'seek', 'data', 'analyst', 'join', 'team', 'data', 'analyst', 'portfolio', 'operation', 'team', 'support', 'internal', 'initiative', 'ideal', 'candidate', 'strong', 'analytical', 'skill', 'attention', 'detail', 'ability', 'communicate', 'insight', 'effectively', 'align', 'successfully', 'organization', 'job', 'title', 'datum', 'analyst', 'location', 'hoboken', 'nj', 'onsite', 'pay', 'range', 'hour', 'w-', 's'], 'adjs_verbs': ['seek', 'join', 'support', 'internal', 'ideal', 'strong', 'analytical', 'communicate', 'align', 'hoboken', 'onsite', 's'], 'nouns': ['client', 'leader', 'health', 'beauty', 'industry', 'data', 'analyst', 'team', 'data', 'analyst', 'portfolio', 'operation', 'team', 'initiative', 'candidate', 'skill', 'attention', 'detail', 'ability', 'insight', 'organization', 'job', 'title', 'datum', 'analyst', 'location', 'nj', 'pay', 'range', 'hour'], 'noun_phrases': ['beauty industry', 'data analyst', 'data analyst', 'portfolio operations', 'portfolio operations team', 'operations team', 'internal initiatives', 'ideal candidate', 'analytical skills', 'analytical skills attention', 'skills attention', 'organization job', 'organization job title', 'job title', 'organization job title data', 'job title data', 'title data', 'organization job title data analyst', 'job title data analyst', 'title data analyst', 'data analyst', 'organization job title data analyst location', 'job title data analyst location', 'title data analyst location', 'data analyst location', 'analyst location', 'onsite pay', 'onsite pay range', 'pay range'], 'entities': []}",client leader health beauty industry seek data analyst join team data analyst portfolio operation team support internal initiative ideal candidate strong analytical skill attention detail ability communicate insight effectively align successfully organization job title datum analyst location hoboken nj onsite pay range hour w- s beauty industry data analyst data analyst portfolio operations portfolio operations team operations team internal initiatives ideal candidate analytical skills analytical skills attention skills attention organization job organization job title job title organization job title data job title data title data organization job title data analyst job title data analyst title data analyst data analyst organization job title data analyst location job title data analyst location title data analyst location data analyst location analyst location onsite pay onsite pay range pay range
Data Analyst,Wind Turbine And Energy Cables,"Hasbrouck Heights, Bergen County","COMPANY PROFILE: At WTEC Energy, we help bring power to millions of people and businesses across the United States. Headquartered in Hasbrouck Heights, NJ, we are a leading manufacturer servicing the energy market with locations in 4 states. WTEC Energy is a privately held company committed to providing innovative, sustainable energy products and solutions for today and tomorrow. We service and support diverse markets including: Renewables (Solar and Wind), Electric Utility (Transmission, Subst…","Energy, Oil & Gas Jobs",2024-08-07T08:34:52Z,104004.44,104004.44,company profile at wtec energy we help bring power to millions of people and businesses across the united states headquartered in hasbrouck heights nj we are a leading manufacturer servicing the energy market with locations in states wtec energy is a privately held company committed to providing innovative sustainable energy products and solutions for today and tomorrow we service and support diverse markets including renewables solar and wind electric utility transmission subst…,"{'lemmas': ['company', 'profile', 'wtec', 'energy', 'help', 'bring', 'power', 'million', 'people', 'business', 'united', 'states', 'headquarter', 'hasbrouck', 'height', 'nj', 'lead', 'manufacturer', 'service', 'energy', 'market', 'location', 'state', 'wtec', 'energy', 'privately', 'hold', 'company', 'commit', 'provide', 'innovative', 'sustainable', 'energy', 'product', 'solution', 'today', 'tomorrow', 'service', 'support', 'diverse', 'market', 'include', 'renewable', 'solar', 'wind', 'electric', 'utility', 'transmission', 'subst'], 'adjs_verbs': ['wtec', 'help', 'bring', 'headquarter', 'height', 'lead', 'service', 'wtec', 'hold', 'commit', 'provide', 'innovative', 'sustainable', 'service', 'support', 'diverse', 'include', 'solar', 'electric'], 'nouns': ['company', 'profile', 'energy', 'power', 'million', 'people', 'business', 'united', 'states', 'hasbrouck', 'manufacturer', 'energy', 'market', 'location', 'state', 'energy', 'company', 'energy', 'product', 'solution', 'today', 'tomorrow', 'market', 'renewable', 'wind', 'utility', 'transmission', 'subst'], 'noun_phrases': ['company profile', 'wtec energy', 'energy market', 'wtec energy', 'sustainable energy', 'sustainable energy products', 'energy products', 'diverse markets', 'electric utility', 'electric utility transmission', 'utility transmission', 'electric utility transmission subst', 'utility transmission subst', 'transmission subst'], 'entities': [('united states', 'GPE')]}",company profile wtec energy help bring power million people business united states headquarter hasbrouck height nj lead manufacturer service energy market location state wtec energy privately hold company commit provide innovative sustainable energy product solution today tomorrow service support diverse market include renewable solar wind electric utility transmission subst company profile wtec energy energy market wtec energy sustainable energy sustainable energy products energy products diverse markets electric utility electric utility transmission utility transmission electric utility transmission subst utility transmission subst transmission subst
Data Analyst,Project Hospitality,"Stapleton and St. George, Staten Island","Job Details 211 Canal Street - Staten Island, NY Part Time High School/GED $34,000.00 - $36,000.00 Salary Day Description The Data Entry Analyst will be responsible for the entry of all deliverables into the system as well as conducting quality assurance on client-level data elements. This position will enter payments into HIMM and update assignments as advised by the Program Director. They will also assist the Program Director with the accuracy of Rent Worksheets and ensure that all encounters…",Admin Jobs,2025-02-27T20:40:24Z,34000.0,36000.0,job details canal street staten island ny part time high school/ged $ $ salary day description the data entry analyst will be responsible for the entry of all deliverables into the system as well as conducting quality assurance on client-level data elements this position will enter payments into himm and update assignments as advised by the program director they will also assist the program director with the accuracy of rent worksheets and ensure that all encounters…,"{'lemmas': ['job', 'details', 'canal', 'street', 'staten', 'island', 'ny', 'time', 'high', 'school', 'ge', 'salary', 'day', 'description', 'data', 'entry', 'analyst', 'responsible', 'entry', 'deliverable', 'system', 'conduct', 'quality', 'assurance', 'client-level', 'datum', 'element', 'position', 'enter', 'payment', 'himm', 'update', 'assignment', 'advise', 'program', 'director', 'assist', 'program', 'director', 'accuracy', 'rent', 'worksheet', 'ensure', 'encounter'], 'adjs_verbs': ['high', 'ge', 'responsible', 'conduct', 'client-level', 'enter', 'update', 'advise', 'assist', 'ensure'], 'nouns': ['job', 'details', 'canal', 'street', 'staten', 'island', 'ny', 'time', 'school', 'salary', 'day', 'description', 'data', 'entry', 'analyst', 'entry', 'deliverable', 'system', 'quality', 'assurance', 'datum', 'element', 'position', 'payment', 'himm', 'assignment', 'program', 'director', 'program', 'director', 'accuracy', 'rent', 'worksheet', 'encounter'], 'noun_phrases': ['part time', 'high school', 'salary day', 'salary day description', 'day description', 'data entry', 'data entry analyst', 'entry analyst', 'quality assurance', 'client-level data', 'client-level data elements', 'data elements', 'program director', 'program director', 'rent worksheets'], 'entities': []}",job details canal street staten island ny time high school ge salary day description data entry analyst responsible entry deliverable system conduct quality assurance client-level datum element position enter payment himm update assignment advise program director assist program director accuracy rent worksheet ensure encounter part time high school salary day salary day description day description data entry data entry analyst entry analyst quality assurance client-level data client-level data elements data elements program director program director rent worksheets
Data Analyst,BGB Group,"New York City, New York","BGB Group Data Analyst Our Agency BGB Group is a healthcare communications agency that offers a wide range of services, including traditional pharmaceutical advertising, promotional medical education, payer marketing, and consulting services. Known for excellence and professionalism, we’re hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth. Data Analyst Job Overview The Data Analyst will play a critical role in uncovering actio…",Scientific & QA Jobs,2025-02-05T13:48:36Z,70000.0,90000.0,bgb group data analyst our agency bgb group is a healthcare communications agency that offers a wide range of services including traditional pharmaceutical advertising promotional medical education payer marketing and consulting services known for excellence and professionalism we’re hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth data analyst job overview the data analyst will play a critical role in uncovering actio…,"{'lemmas': ['bgb', 'group', 'data', 'analyst', 'agency', 'bgb', 'group', 'healthcare', 'communication', 'agency', 'offer', 'wide', 'range', 'service', 'include', 'traditional', 'pharmaceutical', 'advertising', 'promotional', 'medical', 'education', 'payer', 'marketing', 'consulting', 'service', 'know', 'excellence', 'professionalism', 'hire', 'strategic', 'creative', 'partner', 'biopharmaceutical', 'client', 'drive', 'category', 'brand', 'awareness', 'growth', 'datum', 'analyst', 'job', 'overview', 'data', 'analyst', 'play', 'critical', 'role', 'uncover', 'actio'], 'adjs_verbs': ['offer', 'wide', 'include', 'traditional', 'promotional', 'medical', 'know', 'hire', 'strategic', 'creative', 'biopharmaceutical', 'drive', 'play', 'critical', 'uncover'], 'nouns': ['bgb', 'group', 'data', 'analyst', 'agency', 'bgb', 'group', 'healthcare', 'communication', 'agency', 'range', 'service', 'pharmaceutical', 'advertising', 'education', 'payer', 'marketing', 'consulting', 'service', 'excellence', 'professionalism', 'partner', 'client', 'category', 'brand', 'awareness', 'growth', 'datum', 'analyst', 'job', 'overview', 'data', 'analyst', 'role'], 'noun_phrases': ['healthcare communications', 'healthcare communications agency', 'communications agency', 'wide range', 'traditional pharmaceutical', 'traditional pharmaceutical advertising', 'pharmaceutical advertising', 'medical education', 'medical education payer', 'education payer', 'medical education payer marketing', 'education payer marketing', 'payer marketing', 'consulting services', 'creative partners', 'biopharmaceutical clients', 'brand awareness', 'growth data', 'growth data analyst', 'data analyst', 'growth data analyst job', 'data analyst job', 'analyst job', 'growth data analyst job overview', 'data analyst job overview', 'analyst job overview', 'job overview', 'data analyst', 'critical role'], 'entities': [('bgb group', 'ORG'), ('bgb group', 'ORG')]}",bgb group data analyst agency bgb group healthcare communication agency offer wide range service include traditional pharmaceutical advertising promotional medical education payer marketing consulting service know excellence professionalism hire strategic creative partner biopharmaceutical client drive category brand awareness growth datum analyst job overview data analyst play critical role uncover actio healthcare communications healthcare communications agency communications agency wide range traditional pharmaceutical traditional pharmaceutical advertising pharmaceutical advertising medical education medical education payer education payer medical education payer marketing education payer marketing payer marketing consulting services creative partners biopharmaceutical clients brand awareness growth data growth data analyst data analyst growth data analyst job data analyst job analyst job growth data analyst job overview data analyst job overview analyst job overview job overview data analyst critical role
Data Analyst,BGB Group,"New York City, New York","Job Description Job Description BGB Group Data Analyst Our Agency BGB Group is a healthcare communications agency that offers a wide range of services, including traditional pharmaceutical advertising, promotional medical education, payer marketing, and consulting services. Known for excellence and professionalism, we're hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth. Data Analyst Job Overview The Data Analyst will play a c…",Scientific & QA Jobs,2025-04-03T01:37:09Z,101399.46,101399.46,job description job description bgb group data analyst our agency bgb group is a healthcare communications agency that offers a wide range of services including traditional pharmaceutical advertising promotional medical education payer marketing and consulting services known for excellence and professionalism we re hired as strategic and creative partners by our biopharmaceutical clients to drive category/brand awareness and growth data analyst job overview the data analyst will play a c…,"{'lemmas': ['job', 'description', 'job', 'description', 'bgb', 'group', 'data', 'analyst', 'agency', 'bgb', 'group', 'healthcare', 'communication', 'agency', 'offer', 'wide', 'range', 'service', 'include', 'traditional', 'pharmaceutical', 'advertising', 'promotional', 'medical', 'education', 'payer', 'marketing', 'consulting', 'service', 'know', 'excellence', 'professionalism', 'hire', 'strategic', 'creative', 'partner', 'biopharmaceutical', 'client', 'drive', 'category', 'brand', 'awareness', 'growth', 'datum', 'analyst', 'job', 'overview', 'data', 'analyst', 'play', 'c'], 'adjs_verbs': ['offer', 'wide', 'include', 'traditional', 'promotional', 'medical', 'know', 'hire', 'strategic', 'creative', 'biopharmaceutical', 'drive', 'play'], 'nouns': ['job', 'description', 'job', 'description', 'bgb', 'group', 'data', 'analyst', 'agency', 'bgb', 'group', 'healthcare', 'communication', 'agency', 'range', 'service', 'pharmaceutical', 'advertising', 'education', 'payer', 'marketing', 'consulting', 'service', 'excellence', 'professionalism', 'partner', 'client', 'category', 'brand', 'awareness', 'growth', 'datum', 'analyst', 'job', 'overview', 'data', 'analyst', 'c'], 'noun_phrases': ['job description', 'job description job', 'description job', 'job description job description', 'description job description', 'job description', 'healthcare communications', 'healthcare communications agency', 'communications agency', 'wide range', 'traditional pharmaceutical', 'traditional pharmaceutical advertising', 'pharmaceutical advertising', 'medical education', 'medical education payer', 'education payer', 'medical education payer marketing', 'education payer marketing', 'payer marketing', 'consulting services', 'creative partners', 'biopharmaceutical clients', 'brand awareness', 'growth data', 'growth data analyst', 'data analyst', 'growth data analyst job', 'data analyst job', 'analyst job', 'growth data analyst job overview', 'data analyst job overview', 'analyst job overview', 'job overview', 'data analyst'], 'entities': [('bgb group', 'ORG'), ('bgb group', 'ORG')]}",job description job description bgb group data analyst agency bgb group healthcare communication agency offer wide range service include traditional pharmaceutical advertising promotional medical education payer marketing consulting service know excellence professionalism hire strategic creative partner biopharmaceutical client drive category brand awareness growth datum analyst job overview data analyst play c job description job description job description job job description job description description job description job description healthcare communications healthcare communications agency communications agency wide range traditional pharmaceutical traditional pharmaceutical advertising pharmaceutical advertising medical education medical education payer education payer medical education payer marketing education payer marketing payer marketing consulting services creative partners biopharmaceutical clients brand awareness growth data growth data analyst data analyst growth data analyst job data analyst job analyst job growth data analyst job overview data analyst job overview analyst job overview job overview data analyst
Data Analyst,Fund For Public Health,"Astoria, Queens","The Fund for Public Health in New York City (FPHNYC) is a 501(c)3 non-profit organization that is dedicated to the advancement of the health and well-being of all New Yorkers. To this end, in partnership with the New York City Department of Health and Mental Hygiene (DOHMH), FPHNYC incubates innovative public health initiatives implemented by DOHMH to advance community health throughout the city. It facilitates partnerships, often new and unconventional, between government and the private secto…",Admin Jobs,2024-09-20T06:16:45Z,78272.53,78272.53,the fund for public health in new york city fphnyc is a c non-profit organization that is dedicated to the advancement of the health and well-being of all new yorkers to this end in partnership with the new york city department of health and mental hygiene dohmh fphnyc incubates innovative public health initiatives implemented by dohmh to advance community health throughout the city it facilitates partnerships often new and unconventional between government and the private secto…,"{'lemmas': ['fund', 'public', 'health', 'new', 'york', 'city', 'fphnyc', 'c', 'non-profit', 'organization', 'dedicate', 'advancement', 'health', 'well-being', 'new', 'yorker', 'end', 'partnership', 'new', 'york', 'city', 'department', 'health', 'mental', 'hygiene', 'dohmh', 'fphnyc', 'incubate', 'innovative', 'public', 'health', 'initiative', 'implement', 'dohmh', 'advance', 'community', 'health', 'city', 'facilitate', 'partnership', 'new', 'unconventional', 'government', 'private', 'secto'], 'adjs_verbs': ['public', 'non-profit', 'dedicate', 'new', 'mental', 'fphnyc', 'innovative', 'public', 'implement', 'advance', 'facilitate', 'new', 'unconventional', 'private'], 'nouns': ['fund', 'health', 'new', 'york', 'city', 'fphnyc', 'c', 'organization', 'advancement', 'health', 'well-being', 'yorker', 'end', 'partnership', 'new', 'york', 'city', 'department', 'health', 'hygiene', 'dohmh', 'incubate', 'health', 'initiative', 'dohmh', 'community', 'health', 'city', 'partnership', 'government'], 'noun_phrases': ['public health', 'non-profit organization', 'new yorkers', 'mental hygiene', 'mental hygiene dohmh', 'hygiene dohmh', 'fphnyc incubates', 'public health', 'public health initiatives', 'health initiatives', 'community health'], 'entities': [('new york city', 'GPE'), ('new york city', 'GPE')]}",fund public health new york city fphnyc c non-profit organization dedicate advancement health well-being new yorker end partnership new york city department health mental hygiene dohmh fphnyc incubate innovative public health initiative implement dohmh advance community health city facilitate partnership new unconventional government private secto public health non-profit organization new yorkers mental hygiene mental hygiene dohmh hygiene dohmh fphnyc incubates public health public health initiatives health initiatives community health
Data Analyst,netx,"New York City, New York","Data Analyst – part time Netx is a great place to work – we think you’re going to love it here. We pride ourselves on having a great team and fun work environment while doing great work for our industry leading clients like Dick’s Sporting Goods, Conde Nast, Audible.com and others. We’ve been doing this for more than 10 years and we plan to be around for a long time. If you visit our site you’ll see we’re “Results Obsessed”. Clients hire us because we get them quality customers through the inte…","PR, Advertising & Marketing Jobs",2024-08-07T08:42:40Z,73059.6,73059.6,data analyst – part time netx is a great place to work – we think you’re going to love it here we pride ourselves on having a great team and fun work environment while doing great work for our industry leading clients like dick’s sporting goods conde nast audible com and others we’ve been doing this for more than years and we plan to be around for a long time if you visit our site you’ll see we’re “results obsessed” clients hire us because we get them quality customers through the inte…,"{'lemmas': ['datum', 'analyst', 'time', 'netx', 'great', 'place', 'work', 'think', 'go', 'love', 'pride', 'have', 'great', 'team', 'fun', 'work', 'environment', 'great', 'work', 'industry', 'lead', 'client', 'like', 'dick', 'sporting', 'good', 'conde', 'nast', 'audible', 'com', 'year', 'plan', 'long', 'time', 'visit', 'site', 'result', 'obsess', 'client', 'hire', 'quality', 'customer', 'inte'], 'adjs_verbs': ['great', 'work', 'think', 'go', 'love', 'pride', 'have', 'great', 'great', 'lead', 'audible', 'plan', 'long', 'visit', 'obsess', 'hire', 'quality'], 'nouns': ['datum', 'analyst', 'time', 'netx', 'place', 'team', 'fun', 'work', 'environment', 'work', 'industry', 'client', 'dick', 'sporting', 'good', 'conde', 'nast', 'com', 'year', 'time', 'site', 'result', 'client', 'customer', 'inte'], 'noun_phrases': ['data analyst', 'part time', 'part time netx', 'time netx', 'great place', 'great team', 'fun work', 'fun work environment', 'work environment', 'great work', 'sporting goods', 'audible com', 'long time', 'quality customers'], 'entities': [('dick’s', 'PERSON')]}",datum analyst time netx great place work think go love pride have great team fun work environment great work industry lead client like dick sporting good conde nast audible com year plan long time visit site result obsess client hire quality customer inte data analyst part time part time netx time netx great place great team fun work fun work environment work environment great work sporting goods audible com long time quality customers
Data Analyst,Stratford Solutions Inc.,"Jersey City, Hudson County","Job Description Job Description Job Title: Data Analyst (On-Site – Jersey City, NJ) Location: Jersey City, NJ Type: Full-time, On-site Schedule: Monday – Friday, 40 hrs/week Duration: 3-Year Contract Pay Rate: $35/hour Position Overview: The Port Authority of New York and New Jersey (PANYNJ) is seeking a detail-oriented and analytical Data Analyst to support operational, financial, and law enforcement reporting functions. This role is based on-site in Jersey City and involves close collaboratio…",IT Jobs,2025-04-14T14:43:43Z,74423.95,74423.95,job description job description job title data analyst on-site – jersey city nj location jersey city nj type full-time on-site schedule monday – friday hrs/week duration -year contract pay rate $ /hour position overview the port authority of new york and new jersey panynj is seeking a detail-oriented and analytical data analyst to support operational financial and law enforcement reporting functions this role is based on-site in jersey city and involves close collaboratio…,"{'lemmas': ['job', 'description', 'job', 'description', 'job', 'title', 'datum', 'analyst', 'on-site', 'jersey', 'city', 'nj', 'location', 'jersey', 'city', 'nj', 'type', 'full-time', 'on-site', 'schedule', 'monday', 'friday', 'hrs', 'week', 'duration', '-year', 'contract', 'pay', 'rate', '/hour', 'position', 'overview', 'port', 'authority', 'new', 'york', 'new', 'jersey', 'panynj', 'seek', 'detail-oriented', 'analytical', 'datum', 'analyst', 'support', 'operational', 'financial', 'law', 'enforcement', 'reporting', 'function', 'role', 'base', 'on-site', 'jersey', 'city', 'involve', 'close', 'collaboratio'], 'adjs_verbs': ['full-time', 'on-site', 'seek', 'detail-oriented', 'analytical', 'support', 'operational', 'financial', 'base', 'on-site', 'involve', 'close'], 'nouns': ['job', 'description', 'job', 'description', 'job', 'title', 'datum', 'analyst', 'on-site', 'jersey', 'city', 'nj', 'location', 'jersey', 'city', 'nj', 'type', 'schedule', 'monday', 'friday', 'hrs', 'week', 'duration', '-year', 'contract', 'pay', 'rate', '/hour', 'position', 'overview', 'port', 'authority', 'new', 'york', 'new', 'jersey', 'panynj', 'datum', 'analyst', 'law', 'enforcement', 'reporting', 'function', 'role', 'jersey', 'city', 'collaboratio'], 'noun_phrases': ['job description', 'job description job', 'description job', 'job description job description', 'description job description', 'job description', 'job description job description job', 'description job description job', 'job description job', 'description job', 'job description job description job title', 'description job description job title', 'job description job title', 'description job title', 'job title', 'job description job description job title data', 'description job description job title data', 'job description job title data', 'description job title data', 'job title data', 'title data', 'job description job description job title data analyst', 'description job description job title data analyst', 'job description job title data analyst', 'description job title data analyst', 'job title data analyst', 'title data analyst', 'data analyst', 'on-site schedule', 'week duration', 'week duration -year', 'duration -year', 'week duration -year contract', 'duration -year contract', '-year contract', 'week duration -year contract pay', 'duration -year contract pay', '-year contract pay', 'contract pay', 'week duration -year contract pay rate', 'duration -year contract pay rate', '-year contract pay rate', 'contract pay rate', 'pay rate', '/hour position', '/hour position overview', 'position overview', 'port authority', 'analytical data', 'analytical data analyst', 'data analyst', 'law enforcement', 'law enforcement reporting', 'enforcement reporting', 'law enforcement reporting functions', 'enforcement reporting functions', 'reporting functions', 'close collaboratio'], 'entities': [('jersey city', 'GPE'), ('nj', 'ORG'), ('jersey city', 'GPE'), ('new york', 'GPE'), ('new jersey panynj', 'GPE'), ('jersey city', 'GPE')]}",job description job description job title datum analyst on-site jersey city nj location jersey city nj type full-time on-site schedule monday friday hrs week duration -year contract pay rate /hour position overview port authority new york new jersey panynj seek detail-oriented analytical datum analyst support operational financial law enforcement reporting function role base on-site jersey city involve close collaboratio job description job description job description job job description job description description job description job description job description job description job description job description job job description job description job job description job description job title description job description job title job description job title description job title job title job description job description job title data description job description job title data job description job title data description job title data job title data title data job description job description job title data analyst description job description job title data analyst job description job title data analyst description job title data analyst job title data analyst title data analyst data analyst on-site schedule week duration week duration -year duration -year week duration -year contract duration -year contract -year contract week duration -year contract pay duration -year contract pay -year contract pay contract pay week duration -year contract pay rate duration -year contract pay rate -year contract pay rate contract pay rate pay rate /hour position /hour position overview position overview port authority analytical data analytical data analyst data analyst law enforcement law enforcement reporting enforcement reporting law enforcement reporting functions enforcement reporting functions reporting functions close collaboratio
Data Analyst,Ferry Machine Corporation,"Little Ferry, Bergen County","Job purpose We are currently seeking a Data Analytics & Resource Planning Specialist to support the People & Culture Department in making data-driven decisions. . Duties and responsibilities The Data Analyst will maintain data storage; assess database design; and gather, organize, and interpret statistical information based on the data in the database. Perform industry research using publically available data sources Requisition and purchase private data sources to provide research and analysis…",IT Jobs,2024-08-07T08:32:42Z,66133.84,66133.84,job purpose we are currently seeking a data analytics resource planning specialist to support the people culture department in making data-driven decisions duties and responsibilities the data analyst will maintain data storage assess database design and gather organize and interpret statistical information based on the data in the database perform industry research using publically available data sources requisition and purchase private data sources to provide research and analysis…,"{'lemmas': ['job', 'purpose', 'currently', 'seek', 'data', 'analytic', 'resource', 'planning', 'specialist', 'support', 'people', 'culture', 'department', 'make', 'data-driven', 'decision', 'duty', 'responsibility', 'data', 'analyst', 'maintain', 'datum', 'storage', 'assess', 'database', 'design', 'gather', 'organize', 'interpret', 'statistical', 'information', 'base', 'datum', 'database', 'perform', 'industry', 'research', 'publically', 'available', 'data', 'source', 'requisition', 'purchase', 'private', 'data', 'source', 'provide', 'research', 'analysis'], 'adjs_verbs': ['seek', 'support', 'make', 'data-driven', 'maintain', 'gather', 'organize', 'interpret', 'statistical', 'base', 'perform', 'available', 'purchase', 'private', 'provide'], 'nouns': ['job', 'purpose', 'data', 'analytic', 'resource', 'planning', 'specialist', 'people', 'culture', 'department', 'decision', 'duty', 'responsibility', 'data', 'analyst', 'datum', 'storage', 'assess', 'database', 'design', 'information', 'datum', 'database', 'industry', 'research', 'data', 'source', 'requisition', 'data', 'source', 'research', 'analysis'], 'noun_phrases': ['job purpose', 'data analytics', 'data analytics resource', 'analytics resource', 'data analytics resource planning', 'analytics resource planning', 'resource planning', 'data analytics resource planning specialist', 'analytics resource planning specialist', 'resource planning specialist', 'planning specialist', 'people culture', 'data-driven decisions', 'data-driven decisions duties', 'decisions duties', 'data analyst', 'data storage', 'data storage assess', 'storage assess', 'data storage assess database', 'storage assess database', 'assess database', 'data storage assess database design', 'storage assess database design', 'assess database design', 'database design', 'statistical information', 'industry research', 'available data', 'available data sources', 'data sources', 'available data sources requisition', 'data sources requisition', 'sources requisition', 'private data', 'private data sources', 'data sources'], 'entities': []}",job purpose currently seek data analytic resource planning specialist support people culture department make data-driven decision duty responsibility data analyst maintain datum storage assess database design gather organize interpret statistical information base datum database perform industry research publically available data source requisition purchase private data source provide research analysis job purpose data analytics data analytics resource analytics resource data analytics resource planning analytics resource planning resource planning data analytics resource planning specialist analytics resource planning specialist resource planning specialist planning specialist people culture data-driven decisions data-driven decisions duties decisions duties data analyst data storage data storage assess storage assess data storage assess database storage assess database assess database data storage assess database design storage assess database design assess database design database design statistical information industry research available data available data sources data sources available data sources requisition data sources requisition sources requisition private data private data sources data sources
